################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   7.2421640445265417E-04   8.4135735540898662E-02   3.2441059303776380E-02   6.3130630100537502E-03
         1          2   0.0000000000000000E+00   1.5485410450678452E-01   8.3440966197204005E-05   2.2007568872520872E-03
         1          3   6.3222866790738994E-03   2.0917136534186609E-01   1.5434467413069491E-01   9.3864598957880078E-03
         1          4   0.0000000000000000E+00   8.1139451194336808E-03   9.4008913797646474E-06   6.8163115325992345E-05
         1          5   0.0000000000000000E+00   2.1083174573925261E-02   1.6950595651821847E-04   6.6789946086543426E-04
         1          6   1.9283573597047778E-02   4.1830338886801299E-01   1.8643470606832171E-01   2.9676970408567573E-02
         1          7   0.0000000000000000E+00   5.7716886897193176E-01   9.2333970389424922E-04   1.2349264192807831E-02
         1          8   7.3260786382683962E-02   5.6354177603478495E-01   3.5641788349172038E-01   3.3443641611198893E-02
         1          9   0.0000000000000000E+00   6.4670939294240545E-02   2.5478395082774089E-04   1.0566134375138336E-03
         1         10   0.0000000000000000E+00   1.1825866811104732E-01   2.1764072731894277E-03   7.0614030843856113E-03
         1         11   1.6143570737543764E-01   1.1202064676810759E+00   5.1473254366162902E-01   1.0792241074697151E-01
         1         12   0.0000000000000000E+00   1.2956771096216004E+00   6.8295201169493941E-03   4.0083114173864891E-02
         1         13   2.3161440512650072E-01   8.4344177930662778E-01   3.8981135396465166E-01   8.1383294849411258E-02
         1         14   0.0000000000000000E+00   1.8962331528386817E-01   2.9758165022267320E-03   8.2460577891872461E-03
         1         15   0.0000000000000000E+00   2.4402568733101646E-01   1.1335968558260672E-02   3.0696401752428742E-02
         1         16   1.5376510254912962E-01   1.8386477530233964E+00   8.6195595525152457E-01   2.0728513741242685E-01
         1         17   0.0000000000000000E+00   1.4943991701782131E+00   3.1029528995969505E-02   1.0620977141195595E-01
         1         18   6.0498803778185756E-02   1.0523481888040129E+00   3.5929592147124212E-01   1.0361365211207614E-01
         1         19   0.0000000000000000E+00   3.1866006928864826E-01   1.4913037193215078E-02   3.1717242366470062E-02
         1         20   0.0000000000000000E+00   3.4657647376929529E-01   2.5621129501229512E-02   5.6872002609993963E-02
         1         21   4.1984292201117421E-02   2.0017403522699198E+00   1.0324726249498954E+00   2.4322974784794291E-01
         1         22   0.0000000000000000E+00   1.4162985046259386E+00   8.2409463725330645E-02   2.0808460544105295E-01
         1         23   6.6679136488979685E-03   1.0935935682371276E+00   4.5653018799003903E-01   1.3040114944686457E-01
         1         24   0.0000000000000000E+00   4.4152749410764464E-01   3.2632490330581465E-02   5.7797089201161236E-02
         1         25   0.0000000000000000E+00   3.9066141216772027E-01   3.0543828481513755E-02   5.2045795829367775E-02
         1         26   1.3558460281426619E-02   1.7778525601036799E+00   9.6799163804114718E-01   2.2180668437450929E-01
         1         27   0.0000000000000000E+00   1.0511533578411794E+00   1.2980381572100011E-01   2.7883368875810371E-01
         1         28   3.0835996665639943E-03   9.7357747898191827E-01   5.1430342418576136E-01   1.2292106377805573E-01
         1         29   0.0000000000000000E+00   3.4697310029412454E-01   3.3438060165052345E-02   5.1096700414252766E-02
